,ts_code,symbol,name,area,industry,market,list_date
1384,300800.SZ,300800,力合科技,湖南,环境保护,创业板,20191106
1385,300801.SZ,300801,泰和科技,山东,化工原料,创业板,20191128
1386,300802.SZ,300802,矩子科技,上海,专用机械,创业板,20191114
1387,300805.SZ,300805,电声股份,广东,广告包装,创业板,20191121
1388,300807.SZ,300807,天迈科技,河南,软件服务,创业板,20191219
1389,300808.SZ,300808,久量股份,广东,家用电器,创业板,20191129
1390,300809.SZ,300809,华辰装备,江苏,机床制造,创业板,20191204
1391,300810.SZ,300810,中科海讯,北京,船舶,创业板,20191206
1392,300812.SZ,300812,易天股份,深圳,专用机械,创业板,20200109
1393,300813.SZ,300813,泰林生物,浙江,医疗保健,创业板,20200114
1394,300814.SZ,300814,中富电路,深圳,元器件,创业板,20210812
1395,300816.SZ,300816,艾可蓝,安徽,环境保护,创业板,20200210
1396,300817.SZ,300817,双飞股份,浙江,机械基件,创业板,20200218
1397,300818.SZ,300818,耐普矿机,江西,专用机械,创业板,20200212
1398,300819.SZ,300819,聚杰微纤,江苏,纺织,创业板,20200312
1399,300820.SZ,300820,英杰电气,四川,电气设备,创业板,20200213
1400,300822.SZ,300822,贝仕达克,深圳,元器件,创业板,20200313
1401,300823.SZ,300823,建科机械,天津,专用机械,创业板,20200319
1402,300824.SZ,300824,北鼎股份,深圳,家用电器,创业板,20200619
1403,300826.SZ,300826,测绘股份,江苏,建筑工程,创业板,20200403
1404,300828.SZ,300828,锐新科技,天津,机械基件,创业板,20200421
1405,300830.SZ,300830,金现代,山东,软件服务,创业板,20200506
1406,300831.SZ,300831,派瑞股份,陕西,元器件,创业板,20200507
1407,300833.SZ,300833,浩洋股份,广东,专用机械,创业板,20200520
1408,300834.SZ,300834,星辉环材,广东,化工原料,创业板,20220113
1409,300835.SZ,300835,龙磁科技,安徽,元器件,创业板,20200525
1410,300836.SZ,300836,佰奥智能,江苏,专用机械,创业板,20200528
1411,300837.SZ,300837,浙矿股份,浙江,专用机械,创业板,20200605
1412,300838.SZ,300838,浙江力诺,浙江,机械基件,创业板,20200608
1413,300839.SZ,300839,博汇股份,浙江,石油加工,创业板,20200630
1414,300840.SZ,300840,酷特智能,山东,服饰,创业板,20200708
1415,300842.SZ,300842,帝科股份,江苏,电气设备,创业板,20200618
1416,300843.SZ,300843,胜蓝股份,广东,元器件,创业板,20200702
1417,300844.SZ,300844,山水比德,广东,建筑工程,创业板,20210813
1418,300845.SZ,300845,捷安高科,河南,软件服务,创业板,20200703
1419,300847.SZ,300847,中船汉光,河北,化工原料,创业板,20200709
1420,300848.SZ,300848,美瑞新材,山东,化工原料,创业板,20200720
1421,300849.SZ,300849,锦盛新材,浙江,塑料,创业板,20200710
1422,300851.SZ,300851,交大思诺,北京,运输设备,创业板,20200717
1423,300852.SZ,300852,四会富仕,广东,元器件,创业板,20200713
1424,300853.SZ,300853,申昊科技,浙江,专用机械,创业板,20200724
1425,300854.SZ,300854,中兰环保,深圳,环境保护,创业板,20210916
1426,300856.SZ,300856,科思股份,江苏,日用化工,创业板,20200722
1427,300857.SZ,300857,协创数据,深圳,IT设备,创业板,20200727
1428,300858.SZ,300858,科拓生物,北京,食品,创业板,20200727
1429,300859.SZ,300859,西域旅游,新疆,旅游服务,创业板,20200806
1430,300862.SZ,300862,蓝盾光电,安徽,电器仪表,创业板,20200824
1431,300863.SZ,300863,卡倍亿,浙江,汽车配件,创业板,20200824
1432,300864.SZ,300864,南大环境,江苏,环境保护,创业板,20200824
1433,300865.SZ,300865,大宏立,四川,专用机械,创业板,20200824
1434,300868.SZ,300868,杰美特,深圳,通信设备,创业板,20200824
1435,300870.SZ,300870,欧陆通,深圳,电气设备,创业板,20200824
1436,300871.SZ,300871,回盛生物,湖北,农业综合,创业板,20200824
1437,300873.SZ,300873,海晨股份,江苏,仓储物流,创业板,20200824
1438,300875.SZ,300875,捷强装备,天津,专用机械,创业板,20200824
1439,300876.SZ,300876,蒙泰高新,广东,化纤,创业板,20200824
1440,300877.SZ,300877,金春股份,安徽,纺织,创业板,20200824
1441,300878.SZ,300878,维康药业,浙江,中成药,创业板,20200824
1442,300879.SZ,300879,大叶股份,浙江,农用机械,创业板,20200901
1443,300880.SZ,300880,迦南智能,浙江,电器仪表,创业板,20200901
1444,300881.SZ,300881,盛德鑫泰,江苏,钢加工,创业板,20200901
1445,300882.SZ,300882,万胜智能,浙江,电器仪表,创业板,20200910
1446,300883.SZ,300883,龙利得,安徽,造纸,创业板,20200910
1447,300884.SZ,300884,狄耐克,福建,通信设备,创业板,20201112
1448,300885.SZ,300885,海昌新材,江苏,机械基件,创业板,20200910
1449,300886.SZ,300886,华业香料,安徽,化工原料,创业板,20200916
1450,300889.SZ,300889,爱克股份,深圳,电气设备,创业板,20200916
1451,300890.SZ,300890,翔丰华,深圳,电气设备,创业板,20200917
1452,300892.SZ,300892,品渥食品,上海,乳制品,创业板,20200924
1453,300893.SZ,300893,松原股份,浙江,汽车配件,创业板,20200924
1454,300895.SZ,300895,铜牛信息,北京,软件服务,创业板,20200924
1455,300897.SZ,300897,山科智能,浙江,电器仪表,创业板,20200928
1456,300898.SZ,300898,熊猫乳品,浙江,乳制品,创业板,20201016
1457,300899.SZ,300899,上海凯鑫,上海,环境保护,创业板,20201016
1458,300901.SZ,300901,中胤时尚,浙江,服饰,创业板,20201029
1459,300902.SZ,300902,国安达,福建,专用机械,创业板,20201029
1460,300903.SZ,300903,科翔股份,广东,元器件,创业板,20201105
1461,300905.SZ,300905,宝丽迪,江苏,染料涂料,创业板,20201105
1462,300906.SZ,300906,日月明,江西,电器仪表,创业板,20201105
1463,300907.SZ,300907,康平科技,江苏,电气设备,创业板,20201118
1464,300908.SZ,300908,仲景食品,河南,食品,创业板,20201123
1465,300909.SZ,300909,汇创达,深圳,元器件,创业板,20201118
1466,300911.SZ,300911,亿田智能,浙江,家用电器,创业板,20201203
1467,300912.SZ,300912,凯龙高科,江苏,环境保护,创业板,20201207
1468,300913.SZ,300913,兆龙互连,浙江,通信设备,创业板,20201207
1469,300915.SZ,300915,海融科技,上海,乳制品,创业板,20201202
1470,300916.SZ,300916,朗特智能,深圳,元器件,创业板,20201202
1471,300917.SZ,300917,特发服务,深圳,房产服务,创业板,20201221
1472,300918.SZ,300918,南山智尚,山东,纺织,创业板,20201222
1473,300920.SZ,300920,润阳科技,浙江,塑料,创业板,20201225
1474,300921.SZ,300921,南凌科技,深圳,互联网,创业板,20201222
1475,300922.SZ,300922,天秦装备,河北,专用机械,创业板,20201225
1476,300923.SZ,300923,研奥股份,吉林,运输设备,创业板,20201224
1477,300925.SZ,300925,法本信息,深圳,软件服务,创业板,20201230
1478,300926.SZ,300926,博俊科技,江苏,汽车配件,创业板,20210107
1479,300927.SZ,300927,江天化学,江苏,化工原料,创业板,20210107
1480,300928.SZ,300928,华安鑫创,北京,汽车配件,创业板,20210106
1481,300929.SZ,300929,华骐环保,安徽,环境保护,创业板,20210120
1482,300930.SZ,300930,屹通新材,浙江,小金属,创业板,20210121
1483,300931.SZ,300931,通用电梯,江苏,运输设备,创业板,20210121
1484,300932.SZ,300932,三友联众,广东,电气设备,创业板,20210122
1485,300933.SZ,300933,中辰股份,江苏,电气设备,创业板,20210122
1486,300935.SZ,300935,盈建科,北京,软件服务,创业板,20210120
1487,300936.SZ,300936,中英科技,江苏,元器件,创业板,20210126
1488,300937.SZ,300937,药易购,四川,医药商业,创业板,20210127
1489,300938.SZ,300938,信测标准,深圳,电器仪表,创业板,20210127
1490,300939.SZ,300939,秋田微,深圳,元器件,创业板,20210128
1491,300940.SZ,300940,南极光,深圳,元器件,创业板,20210203
1492,300941.SZ,300941,创识科技,福建,软件服务,创业板,20210209
1493,300943.SZ,300943,春晖智控,浙江,机械基件,创业板,20210210
1494,300945.SZ,300945,曼卡龙,浙江,服饰,创业板,20210210
1495,300946.SZ,300946,恒而达,福建,机械基件,创业板,20210208
1496,300947.SZ,300947,德必集团,上海,房产服务,创业板,20210210
1497,300948.SZ,300948,冠中生态,山东,环境保护,创业板,20210225
1498,300949.SZ,300949,奥雅股份,深圳,建筑工程,创业板,20210226
